mp-pt	item-code	treatment-of-code
mannitol	2008Q	9527
mannitol	2008Q	9593
filgrastim	5830W	8674
filgrastim	5830W	8667
filgrastim	5830W	8672
filgrastim	5830W	8668
filgrastim	5830W	8671
filgrastim	5830W	8696
filgrastim	5830W	8669
filgrastim	5830W	8670
filgrastim	5830W	8673
clozapine	6101D	9490
clozapine	6102E	9490
ciclosporin	6109M	9831
desferrioxamine	6113R	9696
dornase alfa	6120D	9624
dornase alfa	6120D	9591
dornase alfa	6120D	9592
ciclosporin	6125J	9764
ciclosporin	6125J	9695
ciclosporin	6125J	13122
ciclosporin	6125J	9694
ciclosporin	6125J	9742
filgrastim	6126K	8674
filgrastim	6126K	8667
filgrastim	6126K	8672
filgrastim	6126K	8668
filgrastim	6126K	8671
filgrastim	6126K	8696
filgrastim	6126K	8669
filgrastim	6126K	8670
filgrastim	6126K	8673
filgrastim	6127L	8674
filgrastim	6127L	8667
filgrastim	6127L	8672
filgrastim	6127L	8668
filgrastim	6127L	8671
filgrastim	6127L	8696
filgrastim	6127L	8669
filgrastim	6127L	8670
filgrastim	6127L	8673
ganciclovir	6136Y	9404
ganciclovir	6136Y	9526
interferon gamma-1b	6148N	9639
rifabutin	6195C	9560
rifabutin	6195C	9622
epoetin alfa	6204M	9688
epoetin alfa	6205N	9688
epoetin alfa	6206P	9688
epoetin alfa	6207Q	9688
mycophenolate	6208R	9689
mycophenolate	6208R	9690
mycophenolate	6209T	9691
mycophenolate	6209T	9693
tacrolimus	6216E	9697
tacrolimus	6217F	9697
azithromycin	6221K	9604
octreotide	6227R	9233
octreotide	6227R	9289
octreotide	6227R	9232
octreotide	6228T	9233
octreotide	6228T	9289
octreotide	6228T	9232
octreotide	6229W	9233
octreotide	6229W	9289
octreotide	6229W	9232
ciclosporin	6232B	9764
ciclosporin	6232B	9695
ciclosporin	6232B	13122
ciclosporin	6232B	9694
ciclosporin	6232B	9742
doxorubicin hydrochloride (as pegylated liposomal)	6249X	9287
doxorubicin hydrochloride (as pegylated liposomal)	6249X	9223
epoetin alfa	6251B	9688
desferrioxamine	6270B	9696
valaciclovir	6280M	9267
baclofen	6284R	9488
baclofen	6284R	9637
baclofen	6284R	9489
baclofen	6284R	9524
pamidronate disodium	6286W	9234
pamidronate disodium	6287X	9234
pamidronate disodium	6288Y	9234
pamidronate disodium	6289B	9234
pamidronate disodium	6289B	9335
pamidronate disodium	6289B	9315
filgrastim	6291D	8674
filgrastim	6291D	8667
filgrastim	6291D	8672
filgrastim	6291D	8668
filgrastim	6291D	8671
filgrastim	6291D	8696
filgrastim	6291D	8669
filgrastim	6291D	8670
filgrastim	6291D	8673
filgrastim	6292E	8674
filgrastim	6292E	8667
filgrastim	6292E	8672
filgrastim	6292E	8668
filgrastim	6292E	8671
filgrastim	6292E	8696
filgrastim	6292E	8669
filgrastim	6292E	8670
filgrastim	6292E	8673
epoetin alfa	6302Q	9688
epoetin alfa	6303R	9688
epoetin alfa	6305W	9688
darbepoetin alfa	6320P	9688
darbepoetin alfa	6321Q	9688
darbepoetin alfa	6322R	9688
darbepoetin alfa	6323T	9688
darbepoetin alfa	6324W	9688
darbepoetin alfa	6325X	9688
darbepoetin alfa	6326Y	9688
tacrolimus	6328C	9697
epoetin alfa	6339P	9688
ciclosporin	6352H	9764
ciclosporin	6352H	9695
ciclosporin	6352H	13122
ciclosporin	6352H	9694
ciclosporin	6352H	9742
ciclosporin	6353J	9764
ciclosporin	6353J	9695
ciclosporin	6353J	13122
ciclosporin	6353J	9694
ciclosporin	6353J	9742
ciclosporin	6354K	9764
ciclosporin	6354K	9695
ciclosporin	6354K	13122
ciclosporin	6354K	9694
ciclosporin	6354K	9742
valganciclovir	6357N	9316
pegfilgrastim	6363X	9235
pegfilgrastim	6363X	9303
mycophenolate	6364Y	9691
mycophenolate	6364Y	9693
darbepoetin alfa	6365B	9688
mycophenolate	6369F	9692
mycophenolate	6369F	9809
mycophenolate	6370G	9692
mycophenolate	6370G	9809
zoledronic acid	6371H	9268
zoledronic acid	6371H	9328
zoledronic acid	6371H	9304
zoledronic acid	6371H	9317
deferiprone	6416Q	9286
deferiprone	6416Q	9228
clozapine	6417R	9490
clozapine	6418T	9490
lanreotide	6423C	9261
lanreotide	6423C	9260
lanreotide	6424D	9261
lanreotide	6424D	9260
lanreotide	6425E	9261
lanreotide	6425E	9260
epoetin alfa	6434P	9688
sirolimus	6436R	9914
sirolimus	6437T	9914
darbepoetin alfa	6438W	9688
peginterferon alfa-2a	6439X	9603
peginterferon alfa-2a	6449K	9603
sirolimus	6457W	9914
everolimus	6459Y	9691
everolimus	6459Y	9693
everolimus	6460B	9691
everolimus	6460B	9693
everolimus	6461C	9691
everolimus	6461C	9693
thalidomide	6469L	9290
epoetin beta	6480C	9688
epoetin beta	6481D	9688
epoetin beta	6482E	9688
epoetin beta	6483F	9688
epoetin beta	6484G	9688
epoetin beta	6485H	9688
darbepoetin alfa	6488L	9688
darbepoetin alfa	6489M	9688
darbepoetin alfa	6490N	9688
darbepoetin alfa	6491P	9688
darbepoetin alfa	6492Q	9688
darbepoetin alfa	6493R	9688
methoxy polyethylene glycol-epoetin beta	9574X	9688
methoxy polyethylene glycol-epoetin beta	9575Y	9688
methoxy polyethylene glycol-epoetin beta	9576B	9688
methoxy polyethylene glycol-epoetin beta	9577C	9688
methoxy polyethylene glycol-epoetin beta	9578D	9688
methoxy polyethylene glycol-epoetin beta	9579E	9688
methoxy polyethylene glycol-epoetin beta	9580F	9688
everolimus	9582H	9691
everolimus	9582H	9693
epoetin lambda	9588P	9688
epoetin lambda	9590R	9688
epoetin lambda	9593X	9688
epoetin lambda	9595B	9688
apomorphine	9607P	11445
ibandronate	9619G	9333
sevelamer	9620H	9762
natalizumab	9624M	13625
clozapine	9632Y	9490
lanthanum	9635D	9762
lanthanum	9636E	9762
lanthanum	9637F	9762
deferiprone	9638G	9286
deferiprone	9638G	9228
apomorphine	9640J	11445
valganciclovir	9675F	9316
tacrolimus	9681M	9697
tacrolimus	9682N	9697
tacrolimus	9683P	9697
thalidomide	9684Q	9290
epoetin lambda	9685R	9688
epoetin lambda	9686T	9688
epoetin lambda	9687W	9688
epoetin lambda	9688X	9688
levodopa + carbidopa	9744W	10363
sirolimus	9748C	9914
filgrastim	2747N	8674
filgrastim	2747N	8667
filgrastim	2747N	8672
filgrastim	2747N	8668
filgrastim	2747N	8671
filgrastim	2747N	8696
filgrastim	2747N	8669
filgrastim	2747N	8670
filgrastim	2747N	8673
filgrastim	2733W	8674
filgrastim	2733W	8667
filgrastim	2733W	8672
filgrastim	2733W	8668
filgrastim	2733W	8671
filgrastim	2733W	8696
filgrastim	2733W	8669
filgrastim	2733W	8670
filgrastim	2733W	8673
infliximab	10057H	9632
plerixafor	10084R	9329
alemtuzumab	10243D	9636
alemtuzumab	10246G	9589
sucroferric oxyhydroxide	10230K	9762
anakinra	10263E	5450
deferasirox	11236J	9302
deferasirox	11236J	9222
deferasirox	11236J	9258
octreotide	10566D	9262
octreotide	10566D	9313
octreotide	10566D	9288
octreotide	10549F	9262
octreotide	10549F	9313
octreotide	10549F	9288
octreotide	10558Q	9262
octreotide	10558Q	9313
octreotide	10558Q	9288
deferasirox	11238L	9302
deferasirox	11238L	9222
deferasirox	11238L	9258
deferasirox	11243R	9302
deferasirox	11243R	9222
deferasirox	11243R	9258
lipegfilgrastim	10931H	9224
lipegfilgrastim	10931H	9322
tacrolimus	10875J	9697
tacrolimus	10879N	9697
apomorphine	10971K	11445
apomorphine	11083H	10830
ocrelizumab	11237K	9523
ocrelizumab	11237K	9635
baclofen	11128Q	9488
baclofen	11128Q	9637
baclofen	11128Q	9489
baclofen	11128Q	9524
baclofen	11194E	9562
baclofen	11194E	9525
baclofen	11194E	9638
baclofen	11194E	9606
deferiprone	11724C	9623
deferiprone	11724C	9590
apomorphine	11475Y	10830
infliximab	11396T	12051
clozapine	11415T	9490
apomorphine	11688E	10830
baclofen	11420C	9488
baclofen	11420C	9637
baclofen	11420C	9489
baclofen	11420C	9524
infliximab	11432Q	9732
infliximab	11450P	9775
infliximab	11488P	9621
infliximab	11483J	12067
deferasirox	11548T	9302
deferasirox	11548T	9222
deferasirox	11548T	9258
deferasirox	11510T	9302
deferasirox	11510T	9222
deferasirox	11510T	9258
deferasirox	11547R	9302
deferasirox	11547R	9222
deferasirox	11547R	9258
lanreotide	11527Q	10077
infliximab	11515C	9472
infliximab	11595G	9602
infliximab	11595G	9584
sevelamer	11838C	9762
octreotide	11894B	10077
infliximab	11796W	12074
tacrolimus	11920J	9697
levodopa + carbidopa	11910W	10161
cinacalcet	11891W	10063
cinacalcet	11889R	10063
cinacalcet	11888Q	10063
methoxsalen	12162D	10971
methoxsalen	12173Q	10989
adalimumab	12368Y	14107
adalimumab	12384T	14107
adalimumab	12349Y	14107
methoxsalen	12855N	12579
methoxsalen	12839R	12567
azacitidine	13040H	13012
tocilizumab	13329M	14179
tocilizumab	13323F	14179
tocilizumab	13315T	14179
tocilizumab	13312P	14082
tocilizumab	13338B	14082
adalimumab	13229G	14107
adalimumab	13210G	14107
ruxolitinib	13239T	13911
ruxolitinib	13236P	13911
ruxolitinib	13244C	13876
ruxolitinib	13244C	13877
ruxolitinib	13231J	13876
ruxolitinib	13231J	13877
adalimumab	13292N	14107
tocilizumab	13311N	14082
etanercept	13295R	14155
etanercept	13326J	14155
etanercept	13332Q	14155
nafarelin	5815C	5046
corifollitropin alfa	5816D	5009
corifollitropin alfa	5817E	5009
choriogonadotropin alfa	6182J	14124
follitropin beta	6335K	5027
follitropin beta	6336L	5027
progesterone	6366C	5045
follitropin alfa	6431L	5027
follitropin alfa	6432M	5027
follitropin alfa	6433N	5027
follitropin beta	6464F	5027
ganirelix	9583J	5046
ganirelix	9584K	5046
cetrorelix	9599F	5046
progesterone	9608Q	4997
progesterone	9609R	4997
human menopausal gonadotrophin	2036E	5027
human menopausal gonadotrophin	2038G	5027
progesterone	10116K	4997
lutropin alfa	10465T	5251
progesterone	10930G	4997
follitropin alfa	10861P	5027
follitropin alfa	10873G	5027
follitropin alfa	10872F	5027
follitropin alfa	10866X	5027
follitropin alfa	10867Y	5027
triptorelin	10907C	5046
follitropin delta	11430N	5027
follitropin delta	11431P	5027
follitropin delta	11414R	5027
follitropin alfa + lutropin alfa	11667C	5250
follitropin alfa	12779N	5027
follitropin alfa	12800Q	5027
follitropin alfa	12770D	5027
human chorionic gonadotrophin	12879W	6991
human chorionic gonadotrophin	12851J	6991
cetuximab	7223E	4794
cetuximab	7223E	4785
cladribine	7225G	6265
cetuximab	7240C	4788
cetuximab	7242E	12045
cetuximab	7242E	4908
nanoparticle albumin-bound paclitaxel	7270P	6106
nanoparticle albumin-bound paclitaxel	7270P	6119
cetuximab	7273T	12016
ipilimumab	2638W	6562
ipilimumab	2638W	6585
ipilimumab	2638W	13841
eribulin	10140Q	4649
panitumumab	10069Y	12066
panitumumab	10069Y	12035
panitumumab	10508C	5526
panitumumab	10508C	5452
cetuximab	10265G	4912
nanoparticle albumin-bound paclitaxel	10150F	4657
arsenic	7241D	4793
arsenic	7241D	5997
cabazitaxel	7236W	13207
pembrolizumab	10475H	10696
pembrolizumab	10424P	10705
obinutuzumab	10418H	11052
bendamustine	10763L	7972
bendamustine	10763L	7943
bendamustine	10763L	7944
arsenic	10699D	6018
nivolumab	10748Q	9298
nivolumab	10748Q	13839
nivolumab	10748Q	13863
nivolumab	11143L	13445
nivolumab	10775D	10155
eribulin	11199K	7258
eribulin	11199K	7280
carfilzomib	11230C	12934
carfilzomib	11230C	12930
nivolumab	11159H	9312
nivolumab	11157F	9299
nivolumab	11152Y	11477
pembrolizumab	11352L	13726
pembrolizumab	11352L	13741
pembrolizumab	13114F	13735
pembrolizumab	13114F	13731
pembrolizumab	13114F	13738
nivolumab	11434T	9216
nivolumab	11425H	9252
obinutuzumab	12193R	11015
pembrolizumab	11632F	13739
pembrolizumab	11632F	13736
atezolizumab	11309F	13443
pembrolizumab	11492W	13431
pembrolizumab	11492W	13432
atezolizumab	11297N	10297
avelumab	11679Q	8947
avelumab	11685B	10023
avelumab	13123Q	13313
avelumab	13123Q	13303
nivolumab	11532Y	13853
nivolumab	11532Y	13852
ipilimumab	11644W	8555
nivolumab	11627Y	14001
nivolumab	11626X	9321
pembrolizumab	13267G	13948
pembrolizumab	13267G	13949
pembrolizumab	13267G	13986
pembrolizumab	12126F	13727
pembrolizumab	12126F	13732
atezolizumab	12167J	10939
atezolizumab	12155R	10917
atezolizumab	11792P	13448
atezolizumab	11792P	10125
durvalumab	11911X	10126
durvalumab	11911X	12271
atezolizumab	11928T	10521
atezolizumab	11927R	10206
atezolizumab	11801D	10216
pembrolizumab	13287H	14027
pembrolizumab	13287H	14044
pembrolizumab	13287H	14028
atezolizumab	12076N	10509
atezolizumab	11940K	13446
atezolizumab	11957H	10215
pembrolizumab	12121Y	13436
pembrolizumab	12121Y	13437
pembrolizumab	12122B	10689
pembrolizumab	12123C	10701
atezolizumab	12098R	10257
carfilzomib	12243J	12694
carfilzomib	12243J	12849
atezolizumab	12159Y	10972
avelumab	13132E	13290
ipilimumab	12304N	11478
ipilimumab	12304N	11391
nivolumab	12315E	13433
nivolumab	12315E	11468
nivolumab	12574T	11985
ipilimumab	12601F	11930
cetuximab	12821T	12483
cetuximab	12817N	12470
sacituzumab govitecan	12944G	12656
sacituzumab govitecan	12965J	12669
nivolumab	13117J	13888
cemiplimab	13160P	13766
cemiplimab	13162R	13373
atezolizumab	13172G	13442
atezolizumab	13170E	13451
cetuximab	4312Y	4794
cetuximab	4312Y	4785
cladribine	4326Q	6265
arsenic	4371C	4793
arsenic	4371C	5997
cabazitaxel	4376H	13207
cetuximab	4435K	4788
cetuximab	4436L	12045
cetuximab	4436L	4908
nanoparticle albumin-bound paclitaxel	4531L	6106
nanoparticle albumin-bound paclitaxel	4531L	6119
cetuximab	4731B	12016
ipilimumab	2641B	6562
ipilimumab	2641B	6585
ipilimumab	2641B	13841
eribulin	10144X	4649
panitumumab	10082P	12066
panitumumab	10082P	12035
panitumumab	10513H	5526
panitumumab	10513H	5452
cetuximab	10262D	4912
nanoparticle albumin-bound paclitaxel	10165B	4657
pembrolizumab	10436G	10705
pembrolizumab	10493G	10696
obinutuzumab	10407R	11052
bendamustine	10760H	7972
bendamustine	10760H	7943
bendamustine	10760H	7944
arsenic	10691Q	6018
nivolumab	10745M	9298
nivolumab	10745M	13839
nivolumab	10745M	13863
nivolumab	11158G	13445
nivolumab	10764M	10155
nivolumab	13121N	13888
eribulin	11212D	7258
eribulin	11212D	7280
carfilzomib	11229B	12934
carfilzomib	11229B	12930
nivolumab	11150W	9312
nivolumab	11160J	9299
nivolumab	11153B	11477
pembrolizumab	11330H	13726
pembrolizumab	11330H	13741
pembrolizumab	13131D	13735
pembrolizumab	13131D	13731
pembrolizumab	13131D	13738
nivolumab	11435W	9216
nivolumab	11411N	9252
obinutuzumab	12204H	11015
pembrolizumab	11646Y	13739
pembrolizumab	11646Y	13736
atezolizumab	11284X	13443
pembrolizumab	11494Y	13431
pembrolizumab	11494Y	13432
atezolizumab	11277M	10297
avelumab	11695M	8947
avelumab	11671G	10023
nivolumab	11543M	13853
nivolumab	11543M	13852
ipilimumab	11628B	8555
nivolumab	11636K	14001
nivolumab	11642R	9321
pembrolizumab	13254N	13948
pembrolizumab	13254N	13949
pembrolizumab	13254N	13986
atezolizumab	12171N	10939
atezolizumab	12168K	10917
atezolizumab	11807K	13448
atezolizumab	11807K	10125
durvalumab	11915D	10126
durvalumab	11915D	12271
atezolizumab	11929W	10521
atezolizumab	11926Q	10206
atezolizumab	11802E	10216
atezolizumab	11931Y	13446
atezolizumab	11930X	10215
pembrolizumab	13286G	14027
pembrolizumab	13286G	14044
pembrolizumab	13286G	14028
atezolizumab	12078Q	10509
pembrolizumab	12129J	13727
pembrolizumab	12129J	13732
pembrolizumab	12119W	13436
pembrolizumab	12119W	13437
pembrolizumab	12128H	10689
pembrolizumab	12124D	10701
atezolizumab	12097Q	10257
carfilzomib	12244K	12694
carfilzomib	12244K	12849
atezolizumab	12174R	10972
ipilimumab	12322M	11478
ipilimumab	12322M	11391
nivolumab	12323N	13433
nivolumab	12323N	11468
nivolumab	12602G	11985
ipilimumab	12583G	11930
cetuximab	12820R	12483
cetuximab	12816M	12470
avelumab	13122P	13313
avelumab	13122P	13303
avelumab	13126W	13290
sacituzumab govitecan	12966K	12656
sacituzumab govitecan	12945H	12669
cemiplimab	13169D	13766
cemiplimab	13161Q	13373
atezolizumab	13174J	13442
atezolizumab	13173H	13451
aprepitant	2550F	4223
aprepitant	2550F	4216
aprepitant	2550F	6464
aprepitant	2550F	6383
netupitant + palonosetron	10714X	5991
netupitant + palonosetron	10714X	5994
netupitant + palonosetron	10714X	6937
netupitant + palonosetron	10714X	6879
trastuzumab	10743K	10212
trastuzumab	10817H	9462
trastuzumab	10811B	9353
fosaprepitant	11103J	6886
fosaprepitant	11103J	6891
fosaprepitant	11103J	6887
fosaprepitant	11103J	6852
botulinum toxin type A	10997T	5221
botulinum toxin type A	10998W	5359
botulinum toxin type A	10998W	8822
botulinum toxin type A	11023E	5406
botulinum toxin type A	10999X	5178
botulinum toxin type A	10999X	8929
botulinum toxin type A	11016T	5408
botulinum toxin type A	10993N	5409
botulinum toxin type A	11000Y	11784
clostridium botulinum type A toxin-haemagglutinin complex	10987G	5405
clostridium botulinum type A toxin-haemagglutinin complex	10981Y	5359
clostridium botulinum type A toxin-haemagglutinin complex	10981Y	8822
clostridium botulinum type A toxin-haemagglutinin complex	10982B	9547
clostridium botulinum type A toxin-haemagglutinin complex	11007H	5406
clostridium botulinum type A toxin-haemagglutinin complex	11022D	5405
clostridium botulinum type A toxin-haemagglutinin complex	11006G	5359
clostridium botulinum type A toxin-haemagglutinin complex	11006G	8822
clostridium botulinum type A toxin-haemagglutinin complex	10988H	9547
clostridium botulinum type A toxin-haemagglutinin complex	11015R	5406
incobotulinumtoxinA	10994P	5360
incobotulinumtoxinA	11005F	5222
botulinum toxin type A	11004E	6953
clostridium botulinum type A toxin-haemagglutinin complex	11831Q	9334
clostridium botulinum type A toxin-haemagglutinin complex	11857C	9334
botulinum toxin type A	11751L	9334
incobotulinumtoxinA	12087E	9547
clostridium botulinum type A toxin-haemagglutinin complex	12214W	5178
clostridium botulinum type A toxin-haemagglutinin complex	12214W	8929
clostridium botulinum type A toxin-haemagglutinin complex	12178Y	5178
clostridium botulinum type A toxin-haemagglutinin complex	12178Y	8929
botulinum toxin type A	12017L	9547
hyoscine butylbromide	5317W	6207
benzydamine	5385K	6197
macrogol-3350 + sodium chloride + bicarbonate + potassium chloride	5389P	6171
methylnaltrexone	5423K	6180
methylnaltrexone	5424L	6180
macrogol-3350	5426N	6170
macrogol-3350 + sodium chloride + bicarbonate + potassium chloride	10127B	6171
metoclopramide	10762K	6084
hydromorphone	12497R	11697
hydromorphone	12484C	11697
hydromorphone	12515Q	11697
hydromorphone	12493M	11697
hydromorphone	12531M	11697
morphine	12502B	11697
morphine	12494N	11697
morphine	12470H	11697
morphine	12537W	11697
morphine	12549L	11697
morphine	12472K	11697
morphine	12499W	11697
morphine	12548K	11697
morphine	12503C	11697
hydromorphone	12565H	11697
trastuzumab	7264H	10296
trastuzumab	7265J	10213
trastuzumab	7266K	10293
trastuzumab	7267L	10294
trastuzumab	10589H	9573
trastuzumab	10402L	9353
trastuzumab	10383L	9349
trastuzumab	10597R	9571
trastuzumab	4632T	10296
trastuzumab	4639E	10213
trastuzumab	4650R	10293
trastuzumab	4703M	10294
trastuzumab	10391X	9353
trastuzumab	10401K	9349
trastuzumab	10581X	9573
trastuzumab	10588G	9571
nevirapine	10303G	4526
nevirapine	10303G	4454
nevirapine	10304H	4512
nevirapine	10304H	4454
nevirapine	10319D	4512
nevirapine	10319D	4454
abacavir	10294T	4512
abacavir	10294T	4454
abacavir + lamivudine	10357D	4527
abacavir + lamivudine	10357D	4528
abacavir + lamivudine + zidovudine	10305J	4495
abacavir + lamivudine + zidovudine	10305J	4480
lamivudine	10320E	4512
lamivudine	10320E	4454
atazanavir	10321F	4512
atazanavir	10321F	4454
lamivudine + zidovudine	10284G	4512
lamivudine + zidovudine	10284G	4454
lamivudine	10348P	4512
lamivudine	10348P	4454
atazanavir	10349Q	4512
atazanavir	10349Q	4454
lamivudine	10311Q	4512
lamivudine	10311Q	4454
darunavir	10329P	5094
darunavir	10367P	4313
efavirenz	10336B	4512
efavirenz	10336B	4454
lopinavir + ritonavir	10285H	4512
lopinavir + ritonavir	10285H	4454
efavirenz	10366N	4512
efavirenz	10366N	4454
lopinavir + ritonavir	10272P	4512
lopinavir + ritonavir	10272P	4454
lopinavir + ritonavir	10327M	4512
lopinavir + ritonavir	10327M	4454
raltegravir	10326L	4275
raltegravir	10326L	4274
etravirine	10301E	5014
raltegravir	10299C	4275
raltegravir	10299C	4274
fosamprenavir	10337C	4512
fosamprenavir	10337C	4454
ganciclovir	10328N	5000
raltegravir	10286J	4512
raltegravir	10286J	4454
rilpivirine	10298B	4512
rilpivirine	10298B	4454
ritonavir	10273Q	4512
ritonavir	10273Q	4454
saquinavir	10335Y	4512
saquinavir	10335Y	4454
tenofovir disoproxil + emtricitabine	10347N	6985
tenofovir disoproxil + emtricitabine	10347N	6986
tenofovir disoproxil	10310P	6998
tenofovir disoproxil	10310P	6982
tenofovir disoproxil	10310P	6980
tenofovir disoproxil	10310P	6992
tenofovir disoproxil	10310P	6983
tenofovir disoproxil	10310P	6984
valganciclovir	10306K	4980
zidovudine	10266H	4512
zidovudine	10266H	4454
zidovudine	10360G	4512
zidovudine	10360G	4454
zidovudine	10361H	4512
zidovudine	10361H	4454
dolutegravir	10283F	4512
dolutegravir	10283F	4454
dolutegravir + abacavir + lamivudine	10345L	9981
dolutegravir + abacavir + lamivudine	10345L	10116
entecavir	10279B	4993
entecavir	10279B	5036
clozapine	10302F	4998
clozapine	10288L	4998
clozapine	10289M	4998
clozapine	10358E	4998
clozapine	10341G	4998
adefovir	10290N	4490
adefovir	10290N	4510
entecavir	10353X	5044
entecavir	10353X	5037
lamivudine	10315X	4993
lamivudine	10315X	5036
maraviroc	10318C	5008
maraviroc	10355B	5008
valganciclovir	10277X	4980
darunavir + cobicistat	10903W	6413
darunavir + cobicistat	10903W	6428
darunavir + cobicistat	10903W	6377
atazanavir + cobicistat	10692R	4512
atazanavir + cobicistat	10692R	4454
emtricitabine + tenofovir alafenamide	11099E	4512
emtricitabine + tenofovir alafenamide	11099E	4454
emtricitabine + tenofovir alafenamide	11113X	4512
emtricitabine + tenofovir alafenamide	11113X	4454
tenofovir alafenamide + emtricitabine + elvitegravir + cobicistat	11114Y	4522
tenofovir alafenamide + emtricitabine + elvitegravir + cobicistat	11114Y	4470
emtricitabine + rilpivirine + tenofovir alafenamide	11104K	4522
emtricitabine + rilpivirine + tenofovir alafenamide	11104K	4470
raltegravir	11248B	4512
raltegravir	11248B	4454
tenofovir disoproxil	11142K	6998
tenofovir disoproxil	11142K	6982
tenofovir disoproxil	11142K	6980
tenofovir disoproxil	11142K	6992
tenofovir disoproxil	11142K	6983
tenofovir disoproxil	11142K	6984
tenofovir disoproxil	11155D	6998
tenofovir disoproxil	11155D	6982
tenofovir disoproxil	11155D	6980
tenofovir disoproxil	11155D	6992
tenofovir disoproxil	11155D	6983
tenofovir disoproxil	11155D	6984
tenofovir disoproxil + emtricitabine	11146P	6985
tenofovir disoproxil + emtricitabine	11146P	6986
tenofovir disoproxil + emtricitabine	11149T	6985
tenofovir disoproxil + emtricitabine	11149T	6986
lanreotide	11289E	7532
lanreotide	11289E	7509
lanreotide	11315M	7532
lanreotide	11315M	7509
lanreotide	11316N	7532
lanreotide	11316N	7509
dolutegravir + rilpivirine	11540J	8214
dolutegravir + rilpivirine	11540J	8226
clozapine	11422E	4998
octreotide	11501H	8197
octreotide	11501H	8208
octreotide	11501H	8198
octreotide	11537F	8197
octreotide	11537F	8208
octreotide	11537F	8198
octreotide	11512X	8197
octreotide	11512X	8208
octreotide	11512X	8198
bictegravir + emtricitabine + tenofovir alafenamide	11649D	4522
bictegravir + emtricitabine + tenofovir alafenamide	11649D	4470
lanreotide	11736Q	10075
dolutegravir + lamivudine	11843H	9987
dolutegravir + lamivudine	11843H	11066
octreotide	11896D	10075
tenofovir disoproxil + emtricitabine + efavirenz	11732L	4522
tenofovir disoproxil + emtricitabine + efavirenz	11732L	4470
darunavir + cobicistat + emtricitabine + tenofovir alafenamide	11955F	10324
darunavir + cobicistat + emtricitabine + tenofovir alafenamide	11955F	10317
tenofovir disoproxil	11982P	10362
tenofovir disoproxil	11992E	10362
tenofovir disoproxil	11978K	10362
darunavir	12111K	4313
cabotegravir	12939B	12619
cabotegravir (&) rilpivirine	12937X	12636
tenofovir disoproxil + emtricitabine	12506F	6985
tenofovir disoproxil + emtricitabine	12506F	6986
darunavir	12946J	5094
buprenorphine	13320C	14138
buprenorphine	13302D	14139
buprenorphine	13297W	14075
buprenorphine	13303E	14139
buprenorphine + naloxone	13322E	14074
buprenorphine	13336X	14157
buprenorphine	13296T	14075
buprenorphine	13327K	14138
buprenorphine	13314R	14075
buprenorphine	13310M	14157
buprenorphine	13298X	14139
buprenorphine + naloxone	13321D	14074
buprenorphine	13337Y	14157
buprenorphine	13328L	14075
buprenorphine	13309L	14139
methadone	13333R	14178
methadone	13334T	14178
